seed,model,task,method,finetuning_steps,realignment_steps,distinct_realignment_samples,repeated_realignment_samples,train_loss,realignment_loss,task_loss,eval_ar_accuracy,eval_bg_accuracy,eval_de_accuracy,eval_el_accuracy,eval_es_accuracy,eval_fr_accuracy,eval_hi_accuracy,eval_ru_accuracy,eval_th_accuracy,eval_tr_accuracy,eval_vi_accuracy,eval_zh_accuracy,eval_avg_accuracy,eval_same_accuracy,final_eval_ar_accuracy,final_eval_bg_accuracy,final_eval_de_accuracy,final_eval_el_accuracy,final_eval_es_accuracy,final_eval_fr_accuracy,final_eval_hi_accuracy,final_eval_ru_accuracy,final_eval_th_accuracy,final_eval_tr_accuracy,final_eval_vi_accuracy,final_eval_zh_accuracy,final_eval_avg_accuracy,final_eval_same_accuracy
31,bert-base-multilingual-cased,xnli,baseline,24544,0,0,0,0.4478960633277893,0,0.4478960633277893,0.6499001996007984,0.6878243512974052,0.7055888223552894,0.6698602794411178,0.7375249500998003,0.7361277445109781,0.6057884231536926,0.6852295409181637,0.5457085828343313,0.6179640718562874,0.6926147704590818,0.6976047904191617,0.669311377245509,0.8077844311377246,0.6499001996007984,0.6878243512974052,0.7055888223552894,0.6698602794411178,0.7375249500998003,0.7361277445109781,0.6057884231536926,0.6852295409181637,0.5457085828343313,0.6179640718562874,0.6926147704590818,0.6976047904191617,0.669311377245509,0.8077844311377246
42,bert-base-multilingual-cased,xnli,baseline,24544,0,0,0,0.1473645567893982,0,0.1473645567893982,0.6510978043912176,0.6848303393213573,0.6942115768463074,0.6708582834331337,0.7305389221556886,0.7193612774451098,0.6043912175648702,0.6784431137724551,0.5540918163672655,0.616566866267465,0.6844311377245509,0.6830339321357285,0.6643213572854292,0.8067864271457086,0.6510978043912176,0.6848303393213573,0.6942115768463074,0.6708582834331337,0.7305389221556886,0.7193612774451098,0.6043912175648702,0.6784431137724551,0.5540918163672655,0.616566866267465,0.6844311377245509,0.6830339321357285,0.6643213572854292,0.8067864271457086
66,bert-base-multilingual-cased,xnli,baseline,24544,0,0,0,0.7852242588996887,0,0.7852242588996887,0.6512974051896208,0.6838323353293413,0.7037924151696606,0.6726546906187625,0.7391217564870259,0.7321357285429142,0.6047904191616766,0.6744510978043912,0.5499001996007984,0.6177644710578842,0.692814371257485,0.6924151696606786,0.6679141716566867,0.8089820359281437,0.6512974051896208,0.6838323353293413,0.7037924151696606,0.6726546906187625,0.7391217564870259,0.7321357285429142,0.6047904191616766,0.6744510978043912,0.5499001996007984,0.6177644710578842,0.692814371257485,0.6924151696606786,0.6679141716566867,0.8089820359281437
23,bert-base-multilingual-cased,xnli,baseline,24544,0,0,0,0.6223273873329163,0,0.6223273873329163,0.6411177644710578,0.665868263473054,0.7057884231536926,0.6534930139720558,0.7363273453093813,0.7239520958083833,0.5776447105788424,0.6754491017964072,0.4934131736526946,0.6095808383233533,0.6842315369261477,0.6830339321357285,0.6541583499667332,0.808183632734531,0.6411177644710578,0.665868263473054,0.7057884231536926,0.6534930139720558,0.7363273453093813,0.7239520958083833,0.5776447105788424,0.6754491017964072,0.4934131736526946,0.6095808383233533,0.6842315369261477,0.6830339321357285,0.6541583499667332,0.808183632734531
17,bert-base-multilingual-cased,xnli,baseline,24544,0,0,0,0.6534832119941711,0,0.6534832119941711,0.6385229540918164,0.6770459081836327,0.6976047904191617,0.6616766467065869,0.7275449101796407,0.7281437125748503,0.5914171656686626,0.6774451097804391,0.5227544910179641,0.6065868263473054,0.6966067864271457,0.6870259481037924,0.6593646041250831,0.8099800399201597,0.6385229540918164,0.6770459081836327,0.6976047904191617,0.6616766467065869,0.7275449101796407,0.7281437125748503,0.5914171656686626,0.6774451097804391,0.5227544910179641,0.6065868263473054,0.6966067864271457,0.6870259481037924,0.6593646041250831,0.8099800399201597
31,bert-base-multilingual-cased,xnli,before_dico,24544,24544,392704,392704,0.5125983953475952,0,0.5125983953475952,0.6487025948103793,0.693812375249501,0.6998003992015968,0.6788423153692614,0.7393213572854291,0.7291417165668662,0.6063872255489022,0.6738522954091817,0.5584830339321357,0.6451097804391217,0.6914171656686626,0.7019960079840319,0.6722388556220892,0.8041916167664671,0.6487025948103793,0.693812375249501,0.6998003992015968,0.6788423153692614,0.7393213572854291,0.7291417165668662,0.6063872255489022,0.6738522954091817,0.5584830339321357,0.6451097804391217,0.6914171656686626,0.7019960079840319,0.6722388556220892,0.8041916167664671
42,bert-base-multilingual-cased,xnli,before_dico,24544,24544,392704,392704,0.19916221499443054,0,0.19916221499443054,0.6425149700598802,0.6862275449101797,0.6914171656686626,0.6622754491017964,0.731936127744511,0.7265469061876247,0.593812375249501,0.6640718562874252,0.5694610778443113,0.6361277445109781,0.6798403193612774,0.6844311377245509,0.6640552228875581,0.793812375249501,0.6425149700598802,0.6862275449101797,0.6914171656686626,0.6622754491017964,0.731936127744511,0.7265469061876247,0.593812375249501,0.6640718562874252,0.5694610778443113,0.6361277445109781,0.6798403193612774,0.6844311377245509,0.6640552228875581,0.793812375249501
66,bert-base-multilingual-cased,xnli,before_dico,24544,24544,392704,392704,0.7785055637359619,0,0.7785055637359619,0.6560878243512974,0.6970059880239521,0.7035928143712575,0.6676646706586826,0.7534930139720559,0.7435129740518962,0.600998003992016,0.6768463073852296,0.5788423153692615,0.6431137724550898,0.7025948103792415,0.6956087824351297,0.6766134397870925,0.8025948103792415,0.6560878243512974,0.6970059880239521,0.7035928143712575,0.6676646706586826,0.7534930139720559,0.7435129740518962,0.600998003992016,0.6768463073852296,0.5788423153692615,0.6431137724550898,0.7025948103792415,0.6956087824351297,0.6766134397870925,0.8025948103792415
23,bert-base-multilingual-cased,xnli,before_dico,24544,24544,392704,392704,0.6450074315071106,0,0.6450074315071106,0.6331337325349301,0.6758483033932136,0.6908183632734531,0.644311377245509,0.7279441117764471,0.7161676646706587,0.5808383233532934,0.663872255489022,0.5493013972055888,0.6307385229540918,0.6906187624750499,0.6806387225548902,0.6570192947438457,0.8049900199600798,0.6331337325349301,0.6758483033932136,0.6908183632734531,0.644311377245509,0.7279441117764471,0.7161676646706587,0.5808383233532934,0.663872255489022,0.5493013972055888,0.6307385229540918,0.6906187624750499,0.6806387225548902,0.6570192947438457,0.8049900199600798
17,bert-base-multilingual-cased,xnli,before_dico,24544,24544,392704,392704,0.5566917061805725,0,0.5566917061805725,0.6572854291417166,0.6940119760479042,0.7117764471057885,0.6816367265469062,0.7367265469061877,0.7307385229540918,0.6005988023952096,0.6810379241516966,0.5473053892215569,0.6499001996007984,0.6950099800399202,0.7087824351297405,0.6745675316034597,0.7998003992015968,0.6572854291417166,0.6940119760479042,0.7117764471057885,0.6816367265469062,0.7367265469061877,0.7307385229540918,0.6005988023952096,0.6810379241516966,0.5473053892215569,0.6499001996007984,0.6950099800399202,0.7087824351297405,0.6745675316034597,0.7998003992015968
