seed,model,task,method,finetuning_steps,realignment_steps,distinct_realignment_samples,repeated_realignment_samples,train_loss,realignment_loss,task_loss,eval_ar_accuracy,eval_bg_accuracy,eval_de_accuracy,eval_el_accuracy,eval_es_accuracy,eval_fr_accuracy,eval_hi_accuracy,eval_ru_accuracy,eval_th_accuracy,eval_tr_accuracy,eval_vi_accuracy,eval_zh_accuracy,eval_avg_accuracy,eval_same_accuracy,final_eval_ar_accuracy,final_eval_bg_accuracy,final_eval_de_accuracy,final_eval_el_accuracy,final_eval_es_accuracy,final_eval_fr_accuracy,final_eval_hi_accuracy,final_eval_ru_accuracy,final_eval_th_accuracy,final_eval_tr_accuracy,final_eval_vi_accuracy,final_eval_zh_accuracy,final_eval_avg_accuracy,final_eval_same_accuracy
17,bert-base-multilingual-cased,xnli,freeze_realign_unfreeze_dico,24544,24544,19786,392590,0.4977554976940155,0,0.4977554976940155,0.6564870259481038,0.6914171656686626,0.7131736526946107,0.681437125748503,0.7522954091816367,0.7395209580838323,0.6109780439121757,0.6940119760479042,0.5650698602794412,0.6323353293413174,0.7085828343313373,0.6894211576846307,0.6778942115768462,0.8191616766467066,0.6564870259481038,0.6914171656686626,0.7131736526946107,0.681437125748503,0.7522954091816367,0.7395209580838323,0.6109780439121757,0.6940119760479042,0.5650698602794412,0.6323353293413174,0.7085828343313373,0.6894211576846307,0.6778942115768462,0.8191616766467066
31,bert-base-multilingual-cased,xnli,freeze_realign_unfreeze_dico,24544,24544,19786,392590,0.378194659948349,0,0.378194659948349,0.654690618762475,0.693812375249501,0.7079840319361277,0.6656686626746507,0.7475049900199601,0.7371257485029941,0.6129740518962076,0.6898203592814371,0.5672654690618762,0.6331337325349301,0.7035928143712575,0.6944111776447106,0.6756653359946774,0.8179640718562874,0.654690618762475,0.693812375249501,0.7079840319361277,0.6656686626746507,0.7475049900199601,0.7371257485029941,0.6129740518962076,0.6898203592814371,0.5672654690618762,0.6331337325349301,0.7035928143712575,0.6944111776447106,0.6756653359946774,0.8179640718562874
31,bert-base-multilingual-cased,xnli,freeze_realign_unfreeze_last_half_dico,24544,24544,19786,392590,0.49145230650901794,0,0.49145230650901794,0.6427145708582834,0.7019960079840319,0.7135728542914171,0.6686626746506986,0.7427145708582834,0.7289421157684631,0.6109780439121757,0.6792415169660678,0.5644710578842316,0.6411177644710578,0.7081836327345309,0.7019960079840319,0.6753825681969393,0.810379241516966,0.6427145708582834,0.7019960079840319,0.7135728542914171,0.6686626746506986,0.7427145708582834,0.7289421157684631,0.6109780439121757,0.6792415169660678,0.5644710578842316,0.6411177644710578,0.7081836327345309,0.7019960079840319,0.6753825681969393,0.810379241516966
42,bert-base-multilingual-cased,xnli,freeze_realign_unfreeze_last_half_dico,24544,24544,19786,392590,0.14088860154151917,0,0.14088860154151917,0.664870259481038,0.6910179640718563,0.716566866267465,0.6884231536926148,0.7477045908183633,0.7437125748502994,0.6077844311377245,0.7005988023952096,0.562874251497006,0.6375249500998004,0.7087824351297405,0.7081836327345309,0.6815036593479707,0.820558882235529,0.664870259481038,0.6910179640718563,0.716566866267465,0.6884231536926148,0.7477045908183633,0.7437125748502994,0.6077844311377245,0.7005988023952096,0.562874251497006,0.6375249500998004,0.7087824351297405,0.7081836327345309,0.6815036593479707,0.820558882235529
42,bert-base-multilingual-cased,xnli,freeze_realign_unfreeze_dico,24544,24544,19786,392590,0.08862404525279999,0,0.08862404525279999,0.6596806387225549,0.6968063872255489,0.7045908183632734,0.6790419161676646,0.7518962075848303,0.7437125748502994,0.6159680638722554,0.6898203592814371,0.5730538922155689,0.6263473053892216,0.7117764471057885,0.6922155688622754,0.6787425149700598,0.8125748502994012,0.6596806387225549,0.6968063872255489,0.7045908183632734,0.6790419161676646,0.7518962075848303,0.7437125748502994,0.6159680638722554,0.6898203592814371,0.5730538922155689,0.6263473053892216,0.7117764471057885,0.6922155688622754,0.6787425149700598,0.8125748502994012
17,bert-base-multilingual-cased,xnli,freeze_realign_unfreeze_last_half_dico,24544,24544,19786,392590,0.6188499927520752,0,0.6188499927520752,0.6512974051896208,0.6834331337325349,0.7031936127744511,0.6722554890219561,0.7379241516966067,0.7397205588822355,0.6087824351297405,0.680439121756487,0.5644710578842316,0.6395209580838324,0.7073852295409182,0.6922155688622754,0.6733865602129075,0.8151696606786427,0.6512974051896208,0.6834331337325349,0.7031936127744511,0.6722554890219561,0.7379241516966067,0.7397205588822355,0.6087824351297405,0.680439121756487,0.5644710578842316,0.6395209580838324,0.7073852295409182,0.6922155688622754,0.6733865602129075,0.8151696606786427
23,bert-base-multilingual-cased,xnli,freeze_realign_unfreeze_last_half_dico,24544,24544,19786,392590,0.4745737314224243,0,0.4745737314224243,0.6455089820359281,0.6828343313373253,0.7119760479041917,0.6750499001996008,0.7417165668662674,0.7357285429141717,0.6059880239520958,0.6796407185628742,0.5451097804391217,0.6383233532934132,0.7055888223552894,0.691816367265469,0.6716067864271457,0.8115768463073852,0.6455089820359281,0.6828343313373253,0.7119760479041917,0.6750499001996008,0.7417165668662674,0.7357285429141717,0.6059880239520958,0.6796407185628742,0.5451097804391217,0.6383233532934132,0.7055888223552894,0.691816367265469,0.6716067864271457,0.8115768463073852
66,bert-base-multilingual-cased,xnli,freeze_realign_unfreeze_last_half_dico,24544,24544,19786,392590,0.6026808619499207,0,0.6026808619499207,0.6445109780439122,0.6960079840319361,0.7019960079840319,0.664870259481038,0.7391217564870259,0.7365269461077845,0.615568862275449,0.6846307385229541,0.5698602794411177,0.6329341317365269,0.7085828343313373,0.7021956087824351,0.674733865602129,0.8197604790419162,0.6445109780439122,0.6960079840319361,0.7019960079840319,0.664870259481038,0.7391217564870259,0.7365269461077845,0.615568862275449,0.6846307385229541,0.5698602794411177,0.6329341317365269,0.7085828343313373,0.7021956087824351,0.674733865602129,0.8197604790419162
66,bert-base-multilingual-cased,xnli,freeze_realign_unfreeze_dico,24544,24544,19786,392590,0.5796892642974854,0,0.5796892642974854,0.6528942115768464,0.6900199600798403,0.7099800399201597,0.6722554890219561,0.7437125748502994,0.7455089820359282,0.6005988023952096,0.6956087824351297,0.5636726546906188,0.6303393213572854,0.7089820359281437,0.6852295409181637,0.6749001996007985,0.820558882235529,0.6528942115768464,0.6900199600798403,0.7099800399201597,0.6722554890219561,0.7437125748502994,0.7455089820359282,0.6005988023952096,0.6956087824351297,0.5636726546906188,0.6303393213572854,0.7089820359281437,0.6852295409181637,0.6749001996007985,0.820558882235529
17,bert-base-multilingual-cased,xnli,before_dico,24544,24544,19786,392590,0.45183318853378296,0,0.45183318853378296,0.6435129740518962,0.6840319361277445,0.6980039920159681,0.6676646706586826,0.7361277445109781,0.732934131736527,0.6119760479041916,0.6790419161676646,0.5604790419161677,0.6269461077844312,0.7011976047904191,0.6852295409181637,0.6689288090485696,0.8149700598802395,0.6435129740518962,0.6840319361277445,0.6980039920159681,0.6676646706586826,0.7361277445109781,0.732934131736527,0.6119760479041916,0.6790419161676646,0.5604790419161677,0.6269461077844312,0.7011976047904191,0.6852295409181637,0.6689288090485696,0.8149700598802395
