seed,model,task,method,finetuning_steps,realignment_steps,distinct_realignment_samples,repeated_realignment_samples,train_loss,realignment_loss,task_loss,eval_ar_accuracy,eval_bg_accuracy,eval_de_accuracy,eval_el_accuracy,eval_es_accuracy,eval_fr_accuracy,eval_hi_accuracy,eval_ru_accuracy,eval_th_accuracy,eval_tr_accuracy,eval_vi_accuracy,eval_zh_accuracy,eval_avg_accuracy,eval_same_accuracy,final_eval_ar_accuracy,final_eval_bg_accuracy,final_eval_de_accuracy,final_eval_el_accuracy,final_eval_es_accuracy,final_eval_fr_accuracy,final_eval_hi_accuracy,final_eval_ru_accuracy,final_eval_th_accuracy,final_eval_tr_accuracy,final_eval_vi_accuracy,final_eval_zh_accuracy,final_eval_avg_accuracy,final_eval_same_accuracy
31,xlm-roberta-base,xnli,baseline,24544,0,0,0,0.5940227508544922,0,0.5940227508544922,0.7049900199600798,0.7648702594810379,0.7554890219560878,0.7367265469061877,0.7706586826347306,0.7616766467065869,0.6860279441117765,0.7445109780439122,0.7143712574850299,0.7213572854291417,0.7365269461077845,0.7235528942115769,0.7350632069194943,0.8239520958083832,0.7049900199600798,0.7648702594810379,0.7554890219560878,0.7367265469061877,0.7706586826347306,0.7616766467065869,0.6860279441117765,0.7445109780439122,0.7143712574850299,0.7213572854291417,0.7365269461077845,0.7235528942115769,0.7350632069194943,0.8239520958083832
42,xlm-roberta-base,xnli,baseline,24544,0,0,0,0.15042856335639954,0,0.15042856335639954,0.6848303393213573,0.7485029940119761,0.731936127744511,0.7245508982035929,0.7628742514970059,0.7554890219560878,0.6624750499001996,0.7239520958083833,0.6856287425149701,0.7039920159680638,0.7235528942115769,0.7081836327345309,0.7179973386560211,0.8165668662674651,0.6848303393213573,0.7485029940119761,0.731936127744511,0.7245508982035929,0.7628742514970059,0.7554890219560878,0.6624750499001996,0.7239520958083833,0.6856287425149701,0.7039920159680638,0.7235528942115769,0.7081836327345309,0.7179973386560211,0.8165668662674651
66,xlm-roberta-base,xnli,baseline,24544,0,0,0,0.719282329082489,0,0.719282329082489,0.6962075848303393,0.755688622754491,0.7459081836327345,0.7431137724550898,0.7692614770459082,0.7610778443113773,0.6780439121756487,0.7383233532934131,0.6880239520958084,0.7129740518962076,0.729940119760479,0.7091816367265469,0.7273120425815036,0.8217564870259481,0.6962075848303393,0.755688622754491,0.7459081836327345,0.7431137724550898,0.7692614770459082,0.7610778443113773,0.6780439121756487,0.7383233532934131,0.6880239520958084,0.7129740518962076,0.729940119760479,0.7091816367265469,0.7273120425815036,0.8217564870259481
23,xlm-roberta-base,xnli,baseline,24544,0,0,0,0.423766553401947,0,0.423766553401947,0.692814371257485,0.7467065868263473,0.7397205588822355,0.7293413173652694,0.7682634730538922,0.7562874251497006,0.6702594810379241,0.7343313373253493,0.6946107784431138,0.7105788423153693,0.7275449101796407,0.7085828343313373,0.723253493013972,0.8171656686626747,0.692814371257485,0.7467065868263473,0.7397205588822355,0.7293413173652694,0.7682634730538922,0.7562874251497006,0.6702594810379241,0.7343313373253493,0.6946107784431138,0.7105788423153693,0.7275449101796407,0.7085828343313373,0.723253493013972,0.8171656686626747
17,xlm-roberta-base,xnli,baseline,24544,0,0,0,0.5915699005126953,0,0.5915699005126953,0.6950099800399202,0.7504990019960079,0.7435129740518962,0.7355289421157685,0.7674650698602794,0.7574850299401198,0.6710578842315369,0.7331337325349302,0.6792415169660678,0.704191616766467,0.7187624750499002,0.7157684630738523,0.7226380572188954,0.8213572854291418,0.6950099800399202,0.7504990019960079,0.7435129740518962,0.7355289421157685,0.7674650698602794,0.7574850299401198,0.6710578842315369,0.7331337325349302,0.6792415169660678,0.704191616766467,0.7187624750499002,0.7157684630738523,0.7226380572188954,0.8213572854291418
31,xlm-roberta-base,xnli,before_dico,24544,24544,17678,392660,0.6541455984115601,0,0.6541455984115601,0.6954091816367265,0.7560878243512974,0.7409181636726547,0.7349301397205589,0.7674650698602794,0.756686626746507,0.6774451097804391,0.7379241516966067,0.7029940119760479,0.7117764471057885,0.7353293413173653,0.7097804391217565,0.7272288755821691,0.8093812375249501,0.6954091816367265,0.7560878243512974,0.7409181636726547,0.7349301397205589,0.7674650698602794,0.756686626746507,0.6774451097804391,0.7379241516966067,0.7029940119760479,0.7117764471057885,0.7353293413173653,0.7097804391217565,0.7272288755821691,0.8093812375249501
42,xlm-roberta-base,xnli,before_dico,24544,24544,17678,392660,0.1832011193037033,0,0.1832011193037033,0.6758483033932136,0.7367265469061877,0.7249500998003992,0.7275449101796407,0.7570858283433134,0.7451097804391218,0.663872255489022,0.7225548902195609,0.6866267465069861,0.6972055888223553,0.7199600798403194,0.6980039920159681,0.7129574184963409,0.8059880239520958,0.6758483033932136,0.7367265469061877,0.7249500998003992,0.7275449101796407,0.7570858283433134,0.7451097804391218,0.663872255489022,0.7225548902195609,0.6866267465069861,0.6972055888223553,0.7199600798403194,0.6980039920159681,0.7129574184963409,0.8059880239520958
66,xlm-roberta-base,xnli,before_dico,24544,24544,17678,392660,0.6170140504837036,0,0.6170140504837036,0.6874251497005988,0.7445109780439122,0.7371257485029941,0.7217564870259481,0.7574850299401198,0.7586826347305389,0.6666666666666666,0.730938123752495,0.6872255489021956,0.6994011976047905,0.7231536926147705,0.7125748502994012,0.7189121756487026,0.8085828343313374,0.6874251497005988,0.7445109780439122,0.7371257485029941,0.7217564870259481,0.7574850299401198,0.7586826347305389,0.6666666666666666,0.730938123752495,0.6872255489021956,0.6994011976047905,0.7231536926147705,0.7125748502994012,0.7189121756487026,0.8085828343313374
23,xlm-roberta-base,xnli,before_dico,24544,24544,17678,392660,0.4343166947364807,0,0.4343166947364807,0.6892215568862275,0.7417165668662674,0.7359281437125749,0.7157684630738523,0.7602794411177645,0.7532934131736527,0.663872255489022,0.7255489021956087,0.6978043912175649,0.6988023952095809,0.7215568862275449,0.7135728542914171,0.7181137724550898,0.8119760479041916,0.6892215568862275,0.7417165668662674,0.7359281437125749,0.7157684630738523,0.7602794411177645,0.7532934131736527,0.663872255489022,0.7255489021956087,0.6978043912175649,0.6988023952095809,0.7215568862275449,0.7135728542914171,0.7181137724550898,0.8119760479041916
17,xlm-roberta-base,xnli,before_dico,24544,24544,17678,392660,0.6529881954193115,0,0.6529881954193115,0.6854291417165669,0.7375249500998003,0.7303393213572854,0.7229540918163673,0.7524950099800399,0.7415169660678643,0.6744510978043912,0.7193612774451098,0.6924151696606786,0.7017964071856287,0.7169660678642714,0.7093812375249501,0.7153858948769128,0.8039920159680639,0.6854291417165669,0.7375249500998003,0.7303393213572854,0.7229540918163673,0.7524950099800399,0.7415169660678643,0.6744510978043912,0.7193612774451098,0.6924151696606786,0.7017964071856287,0.7169660678642714,0.7093812375249501,0.7153858948769128,0.8039920159680639
