seed,model,task,method,finetuning_steps,realignment_steps,distinct_realignment_samples,repeated_realignment_samples,train_loss,realignment_loss,task_loss,eval_ar_accuracy,eval_bg_accuracy,eval_de_accuracy,eval_el_accuracy,eval_es_accuracy,eval_fr_accuracy,eval_hi_accuracy,eval_ru_accuracy,eval_th_accuracy,eval_tr_accuracy,eval_vi_accuracy,eval_zh_accuracy,eval_avg_accuracy,eval_same_accuracy,final_eval_ar_accuracy,final_eval_bg_accuracy,final_eval_de_accuracy,final_eval_el_accuracy,final_eval_es_accuracy,final_eval_fr_accuracy,final_eval_hi_accuracy,final_eval_ru_accuracy,final_eval_th_accuracy,final_eval_tr_accuracy,final_eval_vi_accuracy,final_eval_zh_accuracy,final_eval_avg_accuracy,final_eval_same_accuracy
17,distilbert-base-multilingual-cased,xnli,before_dico,24544,24544,19786,392590,0.634842574596405,0,0.634842574596405,0.599001996007984,0.6357285429141717,0.643313373253493,0.6079840319361277,0.6934131736526946,0.6802395209580838,0.5407185628742515,0.6249500998003992,0.4718562874251497,0.5774451097804392,0.644311377245509,0.6339321357285429,0.6127411842980705,0.7668662674650698,0.599001996007984,0.6357285429141717,0.643313373253493,0.6079840319361277,0.6934131736526946,0.6802395209580838,0.5407185628742515,0.6249500998003992,0.4718562874251497,0.5774451097804392,0.644311377245509,0.6339321357285429,0.6127411842980705,0.7668662674650698
17,distilbert-base-multilingual-cased,xnli,freeze_realign_unfreeze_dico,24544,24544,19786,392590,0.6208086609840393,0,0.6208086609840393,0.5946107784431137,0.6367265469061876,0.6542914171656686,0.6283433133732534,0.6986027944111777,0.6962075848303393,0.5473053892215569,0.6369261477045908,0.40838323353293415,0.5860279441117765,0.6417165668662674,0.6427145708582834,0.614321357285429,0.7746506986027945,0.5946107784431137,0.6367265469061876,0.6542914171656686,0.6283433133732534,0.6986027944111777,0.6962075848303393,0.5473053892215569,0.6369261477045908,0.40838323353293415,0.5860279441117765,0.6417165668662674,0.6427145708582834,0.614321357285429,0.7746506986027945
31,distilbert-base-multilingual-cased,xnli,before_dico,24544,24544,19786,392590,0.5612412691116333,0,0.5612412691116333,0.5852295409181637,0.6365269461077845,0.6491017964071857,0.6139720558882236,0.6996007984031936,0.6900199600798403,0.5387225548902196,0.626746506986028,0.5017964071856288,0.5906187624750499,0.6437125748502994,0.6361277445109781,0.6176813040585497,0.7744510978043913,0.5852295409181637,0.6365269461077845,0.6491017964071857,0.6139720558882236,0.6996007984031936,0.6900199600798403,0.5387225548902196,0.626746506986028,0.5017964071856288,0.5906187624750499,0.6437125748502994,0.6361277445109781,0.6176813040585497,0.7744510978043913
42,distilbert-base-multilingual-cased,xnli,before_dico,24544,24544,19786,392590,0.22937199473381042,0,0.22937199473381042,0.587624750499002,0.6285429141716566,0.6500998003992016,0.6167664670658682,0.6906187624750499,0.6922155688622754,0.5437125748502994,0.6321357285429142,0.4724550898203593,0.5856287425149701,0.6405189620758484,0.6327345309381237,0.6144211576846307,0.7712574850299401,0.587624750499002,0.6285429141716566,0.6500998003992016,0.6167664670658682,0.6906187624750499,0.6922155688622754,0.5437125748502994,0.6321357285429142,0.4724550898203593,0.5856287425149701,0.6405189620758484,0.6327345309381237,0.6144211576846307,0.7712574850299401
66,distilbert-base-multilingual-cased,xnli,before_dico,24544,24544,19786,392590,0.7277383208274841,0,0.7277383208274841,0.593812375249501,0.641317365269461,0.6528942115768464,0.6353293413173653,0.691816367265469,0.6800399201596806,0.5658682634730539,0.6361277445109781,0.4562874251497006,0.5900199600798404,0.6397205588822356,0.6327345309381237,0.6179973386560214,0.7692614770459082,0.593812375249501,0.641317365269461,0.6528942115768464,0.6353293413173653,0.691816367265469,0.6800399201596806,0.5658682634730539,0.6361277445109781,0.4562874251497006,0.5900199600798404,0.6397205588822356,0.6327345309381237,0.6179973386560214,0.7692614770459082
23,distilbert-base-multilingual-cased,xnli,before_dico,24544,24544,19786,392590,0.5672492384910583,0,0.5672492384910583,0.599001996007984,0.6363273453093813,0.6465069860279441,0.6239520958083832,0.6946107784431138,0.693812375249501,0.5568862275449101,0.6323353293413174,0.4546906187624751,0.5906187624750499,0.6467065868263473,0.6323353293413174,0.6173153692614771,0.7694610778443114,0.599001996007984,0.6363273453093813,0.6465069860279441,0.6239520958083832,0.6946107784431138,0.693812375249501,0.5568862275449101,0.6323353293413174,0.4546906187624751,0.5906187624750499,0.6467065868263473,0.6323353293413174,0.6173153692614771,0.7694610778443114
31,distilbert-base-multilingual-cased,xnli,freeze_realign_unfreeze_dico,24544,24544,19786,392590,0.5938330292701721,0,0.5938330292701721,0.5936127744510978,0.6409181636726546,0.6616766467065869,0.6223552894211577,0.6996007984031936,0.6936127744510978,0.55249500998004,0.6329341317365269,0.43992015968063874,0.5894211576846308,0.6379241516966068,0.6339321357285429,0.6165335994677311,0.774251497005988,0.5936127744510978,0.6409181636726546,0.6616766467065869,0.6223552894211577,0.6996007984031936,0.6936127744510978,0.55249500998004,0.6329341317365269,0.43992015968063874,0.5894211576846308,0.6379241516966068,0.6339321357285429,0.6165335994677311,0.774251497005988
42,distilbert-base-multilingual-cased,xnli,freeze_realign_unfreeze_dico,24544,24544,19786,392590,0.1972595602273941,0,0.1972595602273941,0.6023952095808384,0.639121756487026,0.6682634730538922,0.6263473053892216,0.6954091816367265,0.6954091816367265,0.5562874251497006,0.6417165668662674,0.4213572854291417,0.5740518962075848,0.6281437125748504,0.649500998003992,0.6165003326679973,0.7724550898203593,0.6023952095808384,0.639121756487026,0.6682634730538922,0.6263473053892216,0.6954091816367265,0.6954091816367265,0.5562874251497006,0.6417165668662674,0.4213572854291417,0.5740518962075848,0.6281437125748504,0.649500998003992,0.6165003326679973,0.7724550898203593
66,distilbert-base-multilingual-cased,xnli,freeze_realign_unfreeze_dico,24544,24544,19786,392590,0.7253536581993103,0,0.7253536581993103,0.6025948103792416,0.6419161676646706,0.6560878243512974,0.6275449101796408,0.7003992015968064,0.6970059880239521,0.554690618762475,0.642315369261477,0.40179640718562876,0.5800399201596806,0.6359281437125749,0.6431137724550898,0.6152860944777113,0.7782435129740519,0.6025948103792416,0.6419161676646706,0.6560878243512974,0.6275449101796408,0.7003992015968064,0.6970059880239521,0.554690618762475,0.642315369261477,0.40179640718562876,0.5800399201596806,0.6359281437125749,0.6431137724550898,0.6152860944777113,0.7782435129740519
23,distilbert-base-multilingual-cased,xnli,freeze_realign_unfreeze_dico,24544,24544,19786,392590,0.547890305519104,0,0.547890305519104,0.5960079840319361,0.6405189620758484,0.6630738522954092,0.63812375249501,0.6974051896207585,0.6892215568862275,0.5558882235528942,0.6405189620758484,0.429940119760479,0.5768463073852296,0.6502994011976048,0.6375249500998004,0.6179474384564205,0.7726546906187625,0.5960079840319361,0.6405189620758484,0.6630738522954092,0.63812375249501,0.6974051896207585,0.6892215568862275,0.5558882235528942,0.6405189620758484,0.429940119760479,0.5768463073852296,0.6502994011976048,0.6375249500998004,0.6179474384564205,0.7726546906187625
