seed,model,task,method,finetuning_steps,realignment_steps,distinct_realignment_samples,repeated_realignment_samples,train_loss,realignment_loss,task_loss,eval_ar_em,eval_ar_f1,eval_de_em,eval_de_f1,eval_el_em,eval_el_f1,eval_es_em,eval_es_f1,eval_hi_em,eval_hi_f1,eval_ro_em,eval_ro_f1,eval_ru_em,eval_ru_f1,eval_th_em,eval_th_f1,eval_tr_em,eval_tr_f1,eval_vi_em,eval_vi_f1,eval_zh_em,eval_zh_f1,eval_avg_em,eval_avg_f1,eval_same_em,eval_same_f1
31,distilbert-base-multilingual-cased,xquad,baseline,18010,0,0,0,0.5260809659957886,0,0.5260809659957886,0.2546218487394958,0.3905856281030728,0.3722689075630252,0.5053793735039379,0.226890756302521,0.3377941133838771,0.35378151260504204,0.524362630296561,0.2008403361344538,0.2994341620107551,0.3319327731092437,0.4425174592262879,0.33277310924369746,0.4847326407343123,0.14285714285714285,0.18007136187808453,0.20672268907563024,0.31643172771188144,0.2571428571428571,0.37996022689074604,0.2815126050420168,0.34761734997029153,0.26921313980137507,0.3826260612463461,0.5771996215704825,0.711804776165167
42,distilbert-base-multilingual-cased,xquad,baseline,18010,0,0,0,0.5046219825744629,0,0.5046219825744629,0.25546218487394956,0.3890901674035634,0.36050420168067226,0.4935820317414549,0.21428571428571427,0.3270272696491184,0.35126050420168065,0.5199478688984959,0.2092436974789916,0.31387892898031317,0.3352941176470588,0.44876909622491473,0.3453781512605042,0.4992996912374351,0.1361344537815126,0.18003468053888214,0.226890756302521,0.3242293711670878,0.2453781512605042,0.3721688458725141,0.3,0.36240562891823425,0.2708938120702826,0.38458487096654664,0.5814569536423841,0.7192945581399169
66,distilbert-base-multilingual-cased,xquad,baseline,18010,0,0,0,0.38057589530944824,0,0.38057589530944824,0.23781512605042016,0.38033544475833614,0.38235294117647056,0.510165375953877,0.2184873949579832,0.3262965887356303,0.3680672268907563,0.5085940518488993,0.18067226890756302,0.27784862196963844,0.35714285714285715,0.4608688974528248,0.3495798319327731,0.503766152467612,0.12773109243697478,0.17432739762571697,0.21008403361344538,0.3125532603484286,0.2596638655462185,0.38892665532702697,0.292436974789916,0.36492063492063526,0.27127578304048894,0.38260028012805686,0.5786187322611164,0.7148391517814365
23,distilbert-base-multilingual-cased,xquad,baseline,18010,0,0,0,0.4908072054386139,0,0.4908072054386139,0.24201680672268908,0.37463167641936823,0.3521008403361345,0.4686204034244071,0.21428571428571427,0.3061183862822519,0.36134453781512604,0.5064408642675541,0.1949579831932773,0.2956812875999524,0.30840336134453783,0.4101629151195002,0.3319327731092437,0.4692369983940087,0.1453781512605042,0.18160264105642251,0.20588235294117646,0.3120260735767413,0.253781512605042,0.373326435856335,0.2823529411764706,0.3536861411231162,0.26294881588999236,0.36832125664724163,0.5747398297067171,0.7131255231896824
17,distilbert-base-multilingual-cased,xquad,baseline,18010,0,0,0,0.9917815923690796,0,0.9917815923690796,0.253781512605042,0.38144140401499244,0.373109243697479,0.5071019042861822,0.23781512605042016,0.33519840251153826,0.35126050420168065,0.518910776206639,0.19243697478991598,0.29284003877302023,0.3495798319327731,0.4584596549861915,0.34285714285714286,0.4933534104179201,0.15042016806722688,0.19444444444444442,0.2042016806722689,0.3088415182152211,0.2546218487394958,0.3809251351646329,0.29411764705882354,0.36489995998399394,0.27310924369747897,0.3851287862731614,0.5771996215704825,0.7185154391341906
31,distilbert-base-multilingual-cased,xquad,before_dico,18010,18010,19786,288076,0.4577907621860504,0,0.4577907621860504,0.2319327731092437,0.36221716810774207,0.3411764705882353,0.4707037211193361,0.23445378151260504,0.32777328915756027,0.3445378151260504,0.4956872012583249,0.19243697478991598,0.3013805326143439,0.326890756302521,0.4321362397858849,0.3235294117647059,0.46803008602605356,0.1361344537815126,0.18031746031746027,0.2445378151260504,0.34099559010953023,0.27647058823529413,0.4184890715079488,0.26638655462184874,0.3346451914098977,0.26531703590527117,0.37567050467400753,0.5587511825922422,0.692469246560129
42,distilbert-base-multilingual-cased,xquad,before_dico,18010,18010,19786,288076,0.6890060305595398,0,0.6890060305595398,0.22773109243697479,0.3598249403707765,0.3445378151260504,0.4758668983648165,0.23781512605042016,0.3421448710743461,0.36134453781512604,0.5204241146065233,0.18823529411764706,0.28661903819167667,0.3411764705882353,0.44446878237608517,0.32100840336134456,0.46402532349706505,0.16050420168067228,0.2107256235827664,0.226890756302521,0.3462936319598461,0.2747899159663866,0.4240342094375667,0.26974789915966385,0.33276310524209723,0.2685255920550038,0.3824718671548695,0.55600756859035,0.6923482303283276
66,distilbert-base-multilingual-cased,xquad,before_dico,18010,18010,19786,288076,0.41460976004600525,0,0.41460976004600525,0.23865546218487396,0.38112391928031836,0.37142857142857144,0.5084058592419352,0.2571428571428571,0.3706295774976601,0.3773109243697479,0.532610475299019,0.20588235294117646,0.31077997102056387,0.3697478991596639,0.4827343875618541,0.3495798319327731,0.4968338473662864,0.15630252100840336,0.20134653861544613,0.23697478991596638,0.35532108505860643,0.2815126050420168,0.4432052283259016,0.28739495798319326,0.36781445911698063,0.2847211611917494,0.40461866803496105,0.5638599810785241,0.7016955982453137
23,distilbert-base-multilingual-cased,xquad,before_dico,18010,18010,19786,288076,0.4119970500469208,0,0.4119970500469208,0.25630252100840334,0.3950583671800932,0.35126050420168065,0.5032215162574704,0.25546218487394956,0.3601558033611784,0.35378151260504204,0.5276476499058762,0.1907563025210084,0.2954842598921549,0.37478991596638656,0.4948278401186806,0.3588235294117647,0.5148084519178645,0.1403361344537815,0.1942170201413899,0.24285714285714285,0.3606869357688689,0.2605042016806723,0.42835924067031966,0.2781512605042017,0.3548145925036686,0.2784568372803667,0.4026619707015968,0.5614001892147588,0.7004624693138097
17,distilbert-base-multilingual-cased,xquad,before_dico,18010,18010,19786,288076,1.1324101686477661,0,1.1324101686477661,0.23697478991596638,0.3841326581009858,0.334453781512605,0.4883867363821174,0.24201680672268908,0.3611285129024873,0.3596638655462185,0.5216683446231469,0.18403361344537816,0.29693734798382476,0.35378151260504204,0.47860392573829286,0.3411764705882353,0.5046820299277048,0.146218487394958,0.18882753101240493,0.23949579831932774,0.36542507048717904,0.2865546218487395,0.45449183700615514,0.2815126050420168,0.34807789782579734,0.2732620320855615,0.39930562654455426,0.5582781456953643,0.6951534174616182
